protein,ptms
P13942,"[00039:null,01914:null]"
P18462,[]
P46937,[00048:407]
P32321,[]
Q9UEY8,[]
Q7Z5K2,[]
Q96PU5,[]
Q6ZUM4,[]
P08123,[00162:null]
Q9NX24,[]
P15248,[]
P02458,[]
P59533,[]
P23352,[]
Q71UM5,[]
Q6P461,[]
O43521,[00046:65]
P24530,[]
Q8TB37,[]
P23763,[]
Q8NEM7,[]
P03923,[]
Q9NQC8,[]
Q9UGC6,[]
P62805,[00078:4]
P30530,"[00048:772,00048:814]"
Q86WV6,[01148:150]
Q9BXS0,[01914:null]
Q8NGE1,[]
P33778,[00064:null]
P12111,"[00039:null,00162:null]"
O15169,[00752:null]
Q30KP8,[]
P02792,[]
O75530,[]
P24864,[]
P23396,[]
P61927,[]
P53004,[]
P22304,[]
Q9Y478,[]
O75015,[]
Q5SSG8,[]
Q8TEQ8,[]
P09622,[]
P54793,[]
Q12846,[00696:null]
P35222,[00046:45]
Q96RI1-4,[]
Q02388,[00039:null]
O94817,[]
P10314,[]
Q9HCJ0,[]
Q96AQ7-1,[]
P12830,[]
Q13233,[]
P02462,[00037:null]
A6NIH7,[]
P22607-1,"[00048:577,00048:647,00048:648,00048:724,00048:760,00048:770]"
Q5VT66,[]
P02452,[01914:null]
Q9NSE4,[]
P25116,[]
O15169,[]
Q8N126,[]
Q96EY9,[]
Q92820,[]
Q9TNN7,[]
Q5Y7A7,[]
Q9NXR8,[]
Q8NG98,[]
P07498,[00798:null]
P08294,[]
O00505,[]
P08123,"[00039:null,01914:null]"
Q14764,[]
Q02505,[00163:null]
P04035-1,[]
Q9UHM6,[]
Q12962,[]
Q9Y508,[]
P62805,"[00064:6,00064:13]"
Q9UMX6,[]
P42704,[]
O00476,[]
P0C7N8,[]
P39060,"[00038:null,00039:null,00162:null]"
Q9Y3L5,[]
P02452,"[00038:null,00039:null,00130:170,00162:null]"
P16035,[]
P21815,[]
P34059,[]
Q14117,[]
Q9NWM8,[]
Q14055,"[00037:null,00038:null,00039:null]"
P22303,[]
Q9UP95,[]
P05997,"[00038:null,00039:null,01914:null]"
P36639-2,[]
O94886,[]
P16278,[]
P39060,"[00037:null,00038:null,00039:null]"
P17081,[]
Q9NPC1,[]
O95196,[00814:null]
Q14031,[00037:null]
Q03692,[00162:null]
P55017,[]
O95477,[]
P07101,[]
Q7L804,[]
Q9UBV4,[]
Q96GR2,[]
Q12959,[]
P08572,"[00038:null,00039:null,01914:null]"
P27824,[]
P11047,[]
P62979,[01148:48]
Q9Y5X9,[]
P17987,[]
P60372,[]
P60484,"[00752:40,00752:150,00752:326]"
Q9H2A7,[]
Q8IZ26,[]
Q5TAX3,[]
P08123,"[00039:null,00130:84,00162:null]"
P20062,[]
Q14050,"[00038:null,00039:null,01914:null]"
O60462,[]
Q9Y639,[]
Q3SXY8,[]
P0CG47,[01148:104]
O75486,[]
Q99496,[]
P22307,[]
P60370,[]
P02675,[]
O15197,[]
O94973,[]
P55075-1,[]
Q96P48,[]
Q8TE23,[]
P29017,[]
Q99439,[]
P0CG47,[01148:163]
P08172,[]
O15455,[]
Q96DA2,"[00113:211,00113:213]"
Q5TAT6,"[00037:null,00039:null]"
P01903,[]
P67870,[]
Q9NW13,[]
P01911,[]
P09237,[]
P15586,[]
Q15583,[]
P30450,[]
Q14766,[]
Q5TAT6,"[00038:null,00039:null,01914:null]"
Q9H8P0,[]
P27658,[00039:null]
Q9UBZ9,[]
Q04721,[]
P51801,[]
P10109,[]
P04632,[]
P46721,[]
Q6IE81,[]
P03999,[]
P78363,[]
O15198,"[00046:465,00046:467]"
Q8WYA0,[]
Q7Z4R8,[]
Q09160,[]
P62081,[]
Q02224,[]
Q8TF32,[]
Q14165,[]
Q8N307,[00163:null]
P10523,[]
Q53H54,[]
P30101,[]
P61106,[]
P20700,"[00046:23,00046:393]"
Q13464,[]
P52272,[]
P06493,[]
O95376,[]
Q9UQC2,[00048:null]
P84022,"[00046:423,00046:425,00047:179]"
Q9GIY3,[]
Q71RS6,[]
Q8N2Z9,[]
P12110,"[00038:null,00039:null,01914:null]"
P20645,[]
P62805,[01149:null]
O60706,[]
Q96F25,[]
Q86Z02,[]
P03973,[]
Q06547-3,[]
Q15345,[]
P16189,[]
Q5T5A8,[]
Q07065,[]
P98174,[]
P22415,[]
O15519-1,[]
Q08431,[00696:null]
Q86Y97,[]
P32942,[]
Q9NQZ5,[]
Q8IZC6,"[00039:null,01914:null]"
P19440,[]
Q8NGH7,[]
O15514,[]
Q5VWX1,[]
Q9ULB4,[]
P17030,[]
Q6ZN57,[]
P15848,[]
Q5JTC6,[]
O95336,[]
P22033,[]
P24844,[]
Q8NH56,[]
Q99426,[]
Q9BQK8,[]
Q9NR11,[]
O95198,[]
Q01959,[]
P78545,[]
P02461,[]
Q6IEV9,[]
B4DX44,[]
Q14416,[]
Q9H324,[00812:null]
P61769,[]
Q5TCM9,[]
Q9Y6F9,[00160:null]
P30459,[]
P04629,"[00048:490,00048:670,00048:674,00048:675,00048:785]"
Q99466,"[00804:398,00804:481,00804:519,00804:557,00804:595,00804:697,00804:735,00804:773,00804:936,00804:974,00804:1052,00812:79,00812:210,00812:451,00812:603,00812:743,00812:1145,00813:40,00813:248,00813:290,00813:331,00813:369,00813:489,00813:705,00813:781,00813:820,00813:944,00813:982,00813:1060]"
P19838,[]
P02647,[]
Q92520,[]
Q9Y6C5,[]
Q13316,[]
Q9H853,[00207:null]
Q9BYN8,[]
Q9UGM1,[]
P20138,[]
P78348,[]
P25940,[]
P78333,[00814:null]
P29400,[00037:null]
P79483,[]
Q9H1M3,[]
Q13404,[]
P01275,[]
P14780,[]
Q15021,[00046:null]
Q7L576,[]
P98198,[]
P58876,[00064:21]
Q9Y2G3,[]
Q9H2H9,[]
O43759,[]
Q8WXS8,[00812:null]
Q8IUE6,[00064:6]
Q8N7K0,[]
Q9H1J5,"[00160:null,01381:186]"
P36957,[00127:110]
P13942,[00162:null]
Q99928,[]
Q9H0T7,"[00113:209,00113:210]"
Q9P255,[]
O75056,[00814:null]
P50747,[]
Q00535,"[00046:159,00048:15]"
O14798,[]
Q6FI13,[00077:12]
O95972,[]
P02461,[00162:null]
P41250,[]
Q6FI13,[01148:120]
Q15796,[]
Q15303-1,"[00048:1056,00048:1188,00048:1242]"
P0CG47,[01148:182]
Q9H0F7,[]
Q9BW83,[]
Q96QV6,[00078:30]
P15170,[]
Q01955,"[00039:null,01914:null]"
Q9BYQ5,[]
Q12912,[]
Q01955,[01914:null]
Q13636,"[00113:193,00113:194]"
P59665,[]
P29353-1,"[00046:139,00048:349,00048:350,00048:427]"
P27986,[]
P49913,[]
Q96G74,[]
P46094,[]
P40933,[]
P22607,[]
P57729,[00113:208]
P43003,[]
Q92905,[]
O14979,[]
O75553,[]
Q29960,[]
P63218,[]
Q8NGN7,[]
P14672,[]
Q96Q11,[]
P20963-1,"[00048:72,00048:83,00048:111,00048:123,00048:142,00048:153]"
P0CG48,[01148:215]
Q07065,[00115:100]
P55211,[]
P10145,[]
Q6QHF9,[]
Q31610,[]
Q9Y2I2,[00105:510]
P05412,[]
P35611,[]
Q13868,[]
Q8NFW1,"[00039:null,00162:null]"
P78536,[]
Q9GZN2,[]
P34903,[]
P12110,[01914:null]
P02818,"[00041:68,00041:72,00041:75]"
P09544,[]
O60234,[]
Q9UK32,"[00046:372,00046:389,00047:581]"
P10747,[]
P02746,[]
P49585,[]
Q6U841,[]
Q93063,[]
A6NMZ7,[00037:null]
P49840,[00046:21]
P32926,[]
P06331,[]
P07686,[]
Q5XG87,[00046:621]
Q9UQM7,[00047:286]
O00629,[]
Q9Y5Z9,[]
Q9H227,[]
Q9NP91,[]
Q9NP58,[]
Q13133-1,[]
Q96S37,[]
A6NMZ7,"[00039:null,00162:null]"
Q8N1Q8,[]
Q16842,[]
O15084,[]
P43235,[]
Q9UIU0,[]
Q07343,[00046:54]
P52790,[]
P14618,[]
A8TX70,"[00038:null,00039:null,00162:null]"
P53420,"[00038:null,00039:null,00162:null]"
Q9Y2Q0,[]
Q9NXD2,[]
Q29718,[]
Q9H2U1,[]
P02461,[00039:null]
P02461,"[00038:null,00039:null]"
P08263,[]
P20774,[00831:null]
Q92562,[]
Q86Y39,[]
Q99755,[]
P04792,[]
Q12794,[]
P05534,[]
P55072,[]
Q07817,[]
Q9BRF8,[]
P04279,[00798:239]
Q02094,[]
O43172,[]
Q9BYJ1,[]
O43889,[]
P08138,[]
Q05707,[]
P22680,[]
O00410,[]
Q8NC96,[]
P02786,[]
O00189,[]
P29372,[]
P30485,[]
Q86UK0,[]
Q9Y6R1,[]
Q96BA8,[]
Q96N38,[]
O43521,"[00046:445,00046:602,00046:729,00047:599]"
P27797,[]
Q8N4P2,[]
A8TX70,"[00039:null,01914:null]"
P02452,"[00039:null,01914:null]"
Q9Y6B7,[]
P0CG47,[]
P39900,[]
P13569,[]
Q8N122,"[00046:722,00046:792]"
Q3MJ16,[]
P30495,[]
Q86Y34,[]
Q93077,[]
P31151,[]
Q9UKL4,[]
O94864,[]
Q9NWS9,[]
O43660,[]
Q96MI9,[]
Q9NQV7,[]
Q8NFQ5,[]
P36871,[]
P51884,[00831:null]
Q99717,"[00046:463,00046:465]"
O95999,[01148:null]
Q16678,[]
P02458,[00037:null]
P29400,"[00038:null,00039:null,01914:null]"
Q02539,[]
O95352,"[00046:445,00046:729]"
P0CG47,[00134:76]
Q9Y223,[]
O43903,[]
P05997,"[00038:null,00039:null]"
P0CG48,[01614:380]
P22607-1,[]
Q8IYK4,[]
P13639,[]
Q03692,[01914:null]
P07339,[]
Q9NPD8,[00211:86]
P30456,[]
Q9BRQ8,[]
P04150-6,[]
P30273,"[00048:65,00048:76]"
O95886,[]
Q9BXS0,"[00039:null,00162:null]"
Q2T9J0,[]
P08123,"[00038:null,00039:null]"
Q13761,[]
Q99835,"[00046:588,00046:590,00046:595,00047:593]"
P02461,"[00039:null,01914:null]"
P62875,[]
P04350,[00207:null]
Q8TF71,[]
Q29963,[]
P20908,"[00038:null,00039:null,00162:null]"
Q16778,[00064:null]
Q9UDY6,[]
Q8N3Y7,[]
Q5HYA8,[]
Q9BQQ7,[]
Q13361,[]
P98155,[]
Q9UM47,[01148:null]
Q9NP87,[]
Q9BPZ7,[]
Q9HD47,[]
P20849,[00162:null]
Q71DI3,[00078:27]
Q05655,[]
Q15843,[00211:76]
Q8WWT9,[]
P46695,[]
Q9NZH6,[]
Q13520,[]
P31941,[]
O95714,[01149:null]
P68371,[00206:null]
Q15761,[]
Q09428,[]
Q13263,[]
Q8TAX7,[00163:null]
Q99627,[]
Q6ZS82,[]
P56180,[]
Q9UNA0,[]
O95497,[]
Q9UKN1,[00163:null]
Q9BSL1,[]
P10720,[]
Q99856,[]
P11686,[]
P35557,[]
P68431,[00077:27]
Q13630,[]
O15320,[]
Q8IYL9,[]
P01920,[]
P50395,[]
Q15008,[]
Q9NSD9,[]
Q9Y315,[]
P39059,[01914:null]
Q71DI3,[00064:5]
Q9Y6A1,[]
Q9P218,[00039:null]
Q92997,[00696:null]
Q8NFF2,[]
P05129,[]
P98160,[]
P41226,[]
O94805,[]
P05089,[]
P08572,"[00038:null,00039:null,00162:null]"
Q5GJ75,[]
P62993,[]
O75688,[]
Q14773,[]
Q96P44,"[00038:null,00039:null]"
Q9UQE7,[]
O43741,[]
Q8IUC6,[]
P33897,[]
P01624,[]
Q8TCT8,[]
P13498,[]
P12107,"[00037:null,00039:null]"
Q6NT55,[]
P00519,[]
P02042,[]
Q14790,[]
P22681,[]
Q9H195,[00163:null]
O14594,[00814:null]
P60484,[01148:null]
Q7Z3V4,[]
Q9H0B8,[]
P30483,[]
Q9Y625,[00814:null]
Q96S42,[]
Q9HBH5,[]
Q15046,[]
P48200,[01148:null]
Q96FT9,[]
P13631,[]
P00738,"[00798:266,00798:309,00798:340,00798:351,00798:381]"
Q7Z4L5,[]
P08123,"[00037:null,00038:null,00039:null]"
P59542,[]
Q96A00,[]
Q96T55,[]
P0CG48,[01148:519]
Q6UWR7,[]
Q08334,[]
P56817,[]
P63279,[00211:93]
Q9NP56,[]
P18859,[]
Q03111,[]
Q9BT78,[]
P30511,[]
Q8NFH3,[]
Q99567,[]
Q13454,[]
O15260,[]
Q15436,[]
O00567,[]
P43250,[]
Q8TEM1,[]
Q13541,"[00047:37,00047:46]"
Q9H0U4,[]
Q71DI3,[00085:5]
P39060,[]
P25067,[01914:null]
P45880,[01148:null]
P56747,[]
Q75N90,[]
O43166,[]
Q9P2M4,[]
P20396,[]
P62987,[01148:27]
Q02817,[00163:null]
Q9UK73,[]
Q12791,[]
P02775,[]
P25067,[00039:null]
P18615,[00696:null]
P55735,[]
Q99757,[00798:90]
P17980,[]
Q9C0J8,[]
Q99081,[]
P12004,"[00134:164,00134:168]"
Q2UY09,"[00037:null,00038:null,00039:null]"
O14727,[]
Q16594,[]
Q9P218,[]
Q96R69,[]
P48051,[]
Q9NQA5,[]
Q9BUK0,[]
P17676,[]
Q9UKJ8,[]
P14920,[]
Q6UXB3,[00097:103]
Q96FC9,[]
P22607,"[00048:577,00048:647,00048:648,00048:724]"
P21802-3,"[00048:467,00048:587,00048:589,00048:657,00048:658,00048:734,00048:770,00048:780]"
Q969U6,[]
P39059,"[00038:null,00039:null,00162:null]"
O95255,[]
O75845,[]
Q9Y5X1,[]
P15153,[]
Q8NHW4,[]
O43151,[]
P46937,[00048:null]
Q9UPV9,[00046:621]
P63027,[]
P80370,[]
P08709,"[00041:66,00041:67,00041:74,00041:76,00041:79,00041:80,00041:85,00041:86,00041:89,00041:95]"
P46734-3,[]
Q02388,[00162:null]
Q969Q5,[]
P78406,[]
P14678,"[00076:108,00076:112]"
Q14980,[00047:2055]
P62834,[]
Q9NUQ2,[]
Q7Z494,[00068:2]
Q9NRF2,[]
Q15465,[]
P08174,[]
A3KFT3,[]
Q8NH07,[]
Q9H444,[]
P61966,[]
Q9HCZ1,[]
P20594,[]
Q9BY49,[]
Q9BYQ7,[]
Q08AG7,[]
P15941,[00163:null]
Q9HB96,[]
O60422,[]
Q9NUX5,[]
P00533,[]
Q68DK7,[]
O60494,[]
Q6PCB0,[]
Q96DP5,[]
P22314,[]
Q9BXS0,"[00039:null,01914:null]"
P30466,[]
P0CG48,[00134:152]
Q9Y6N1,[]
P12235,[]
Q9BYP9,[]
P38936,[00047:145]
Q8IWA5,[]
Q8WU67,[]
P01127,[]
Q7L0J3,[]
P01024,[]
Q12874,[]
Q92952,[]
Q16651,[]
Q9BU64,[]
Q8N130,[]
Q5VWK5,[00048:null]
P34741,[00814:null]
Q9NZI8,[]
P60842,[]
P59190,[]
Q71DI3,[00078:9]
Q8IXK2,[]
Q96SD1,[]
A8TX70,"[00038:null,00039:null]"
Q9BZF3,[]
P13761,[]
P31749,"[00046:473,00047:308]"
O75937,[]
Q96HJ5,[]
Q9Y6K1,[01149:null]
Q9UH73,[]
Q00987,[]
Q92764,[]
Q96QK1,[]
Q6PCB0,[00696:null]
Q8NHP6,[]
Q02388,[01914:null]
P19224,[]
Q13895,[]
Q8NF37,[]
Q13586,[]
O75746,[]
Q8TAX7,[]
Q07092,"[00039:null,01914:null]"
Q9Y255,[]
Q14031,"[00037:null,00039:null]"
P16188,[]
Q9UIS9,[]
Q96P44,[]
P22607,[00048:null]
P22681,[00048:371]
P46439,[]
O43513,[]
P31513,[]
Q9H9P5,[]
P49019,[]
Q9BSW2,[]
P07602,[]
P06733,[]
Q6TGC4,[]
P01241,[]
P36897,[]
P16383,[]
P11150,[]
Q9H8H3,[]
Q15459,[]
O60333,[]
P05106,[00047:779]
P59510,[]
Q96J02,[]
P51888,[00831:null]
P40126,[]
P51617,"[00046:376,00047:387]"
Q7Z5P4,[]
O60266,[]
Q13576,[]
P13942,"[00038:null,00039:null,01914:null]"
Q53GL7,[]
Q07889,[]
P22532,[]
Q8N114,[00696:null]
P01762,[]
P61289,[]
Q9NYV6,[]
Q16322,[]
Q92619,[]
P0CG48,[01148:234]
O43300,[]
Q16644,"[00046:null,00047:null]"
P78325,[]
P53803,[]
A8TX70,[00037:null]
Q2NKX8,[]
P01574,[]
P12111,[01914:null]
Q8TE59,[]
P41594,[]
Q03692,"[00038:null,00039:null,00162:null]"
P36956-1,[]
P51148,[]
P00558,[]
Q8NCL4,[]
Q07092,[00162:null]
O76093,[]
Q07092,[01914:null]
A0AVF1,[]
P63316,[]
P08123,"[00037:null,00130:null]"
Q07092,[]
Q9H342,[]
Q15291,[]
P30154,[]
Q92581,[]
P14902,[]
Q96DA6,[]
Q9Y2P4,[]
Q16623,[]
P13984,[]
Q8TEY5,[]
P51654,[]
P49675,[]
Q9ULD4,[]
P05093,[]
P0CG47,[01148:110]
P56705,"[00160:null,01381:212]"
P20338,"[00113:216,00113:218]"
O60814,[]
P35225,[]
P0CG48,[01148:182]
Q9UD71,"[00046:137,00047:34,00047:75]"
O00254,[]
Q96A08,[00064:7]
Q96AJ9,[]
Q9H814,[]
Q9BQ83,[]
Q9Y2R2,[]
P04049,[00046:338]
P18206,[]
Q16659,"[00046:684,00046:688,00046:705,00047:698]"
Q08050,[00047:611]
Q14964,[]
P47900,[]
Q96CW1-2,[]
P27658,"[00039:null,01914:null]"
Q9NQ40,[]
P27658,"[00039:null,00162:null]"
P20333,[]
P35858,[]
O15121,[]
Q5JVG8,[]
Q13449,[00092:315]
Q9NYP7,[]
P05997,[00162:null]
P35052,[]
Q9H598,[]
P09668,[]
P48067,[]
P51654,[00814:null]
Q8IZC6,[00039:null]
Q15465,[00160:278]
Q13509,[00207:null]
Q00535,[00048:15]
Q9NR28,[]
Q9UBT3,[]
P20336,[]
Q969E3,[]
A0A0C4DH73,[]
P61812,[]
P05013,[]
P00738,"[00798:33,00798:52,00798:86,00798:92,00798:111,00798:145,00798:149]"
P14207,[00092:230]
Q96PP8,[]
P04049,"[00046:29,00046:43,00046:259,00046:296,00046:301,00046:338,00046:494,00046:621,00046:642,00047:491,00048:341]"
Q9UBX3,[]
Q13616,[]
P78369,[]
Q05823,[]
Q9NP95,[]
P46531,"[00804:146,00804:378,00804:458,00804:496,00804:534,00804:609,00804:647,00804:722,00804:759,00804:797,00804:1027,00804:1065,00804:1189,00804:1273,00812:883,00812:921,00813:73,00813:116,00813:194,00813:232,00813:311,00813:349,00813:466,00813:617,00813:692,00813:767,00813:805,00813:997,00813:1035,00813:1159,00813:1197,00813:1243,00813:1321,00813:1362,00813:1402]"
P05114,[]
Q01718,[]
Q96LI5,[]
Q99878,[00078:30]
P00488,[]
Q9UNE7,[]
Q9UKJ0,[]
P01225,[]
Q9UJ83,[]
Q53GS9,[]
A6NH00,[]
Q9Y2T6,[]
Q8NFR9,[]
Q9BS16,[]
Q8NGT2,[]
Q9UKT4,[00046:182]
Q8NDV3,[]
Q96EE3-1,[]
P15169,[]
O75469-7,[]
P68363,[00064:40]
P15882,[]
Q8IWI9,[]
Q9UBR2,[]
O14653,[]
O95429,[]
Q16828,[]
Q04206,[]
P62263,[]
Q8NH60,[]
P02452,"[00037:null,00039:null,00130:null]"
Q9UM01,[]
Q9BRC7,[]
P01889,[]
Q15303-3,"[00048:1172,00048:1226]"
P28676,[]
P28335,[]
Q16581,[]
P04114,[]
P09917,[]
Q6UWM9,[]
Q99715,[01914:null]
P04908,[01148:120]
P24522,[]
P17936,[]
Q9NWZ3,"[00046:346,00047:342,00047:345]"
Q8N2W9,[01149:35]
P02452,[00037:null]
P16671,"[00115:3,00115:7,00115:464,00115:466]"
P10911,[]
P35998,[]
P12107,"[00039:null,01914:null]"
Q8TBC4,[00211:237]
