UniProtKB:A0A075B6P5,20-120
UniProtKB:A6NMZ7,20-?,Lys-null,MOD:00162
UniProtKB:A6NMZ7,20-?
UniProtKB:A6NMZ7,20-?,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:A6NMZ7,20-2263,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:A6NMZ7,20-2263,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:A6NMZ7,20-2263,Lys-null,MOD:00162
UniProtKB:A6NMZ7,20-2263,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:A6NMZ7,20-2263,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:A6NMZ7,20-2263,Pro-null,MOD:00039
UniProtKB:A6NMZ7,20-2263,Lys-null,MOD:01914
UniProtKB:A6NMZ7,20-2263,Lys-null,MOD:00037
UniProtKB:A6NMZ7,20-2263,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:A6NMZ7,20-2263
UniProtKB:A6NMZ7,20-2263,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:A6NMZ7,20-2263,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:A6NN14,1-1173
UniProtKB:A6NND4,1-320
UniProtKB:A6NNF4,1-738
UniProtKB:A6NNM8,1-815
UniProtKB:A6NNZ2,1-444,XXX-null,MOD:00206
UniProtKB:A6NNZ2,1-444
UniProtKB:A6NNZ2,1-444,XXX-null,MOD:00207
UniProtKB:A6NP11,1-495
UniProtKB:A6PVC2,1-850
UniProtKB:A7E2V4,1-1837
UniProtKB:A7E2Y1,1-1941
UniProtKB:A7KAX9,1-2087
UniProtKB:A7MBM2,1-1401
UniProtKB:A8CG34,1-1229
UniProtKB:A8K0R7,1-811
UniProtKB:A8K4G0,18-201
UniProtKB:A8K7I4,?-914
UniProtKB:A8K7I4,22-?
UniProtKB:A8K7I4,22-914
UniProtKB:A8K855,1-629
UniProtKB:A8K8P3,1-1242
UniProtKB:A8K8V0,1-405
UniProtKB:A8MPY1,24-467
UniProtKB:A8MQ27,1-555
UniProtKB:A8MT69,1-81
UniProtKB:A8MTJ3,2-354
UniProtKB:A8MTY0,1-619
UniProtKB:A8MTY7,1-169
UniProtKB:A8MTZ0,1-92
UniProtKB:A8MUK1,1-530
UniProtKB:A8MUV8,1-499
UniProtKB:A8MUX0,1-517
UniProtKB:A8MUZ8,1-300
UniProtKB:A8MVA2,1-160
UniProtKB:A8MVS1,1-300
UniProtKB:A8MVX0,1-844
UniProtKB:A8MWA4,1-302
UniProtKB:A8MX34,1-341
UniProtKB:A8MX76,1-684
UniProtKB:A8MXU0,23-73
UniProtKB:A8MXV4,15-375
UniProtKB:A8MXY4,1-1036
UniProtKB:A8MXZ3,1-250
UniProtKB:A8MYU2,1-1149
UniProtKB:A8TX70,?-2615,Pro-null,MOD:00039
UniProtKB:A8TX70,?-2615,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:A8TX70,?-2615,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:A8TX70,?-2615,Lys-null,MOD:00037
UniProtKB:A8TX70,?-2615,Lys-null,MOD:01914
UniProtKB:A8TX70,?-2615,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:A8TX70,?-2615,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:A8TX70,?-2615,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:A8TX70,?-2615,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:A8TX70,?-2615,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:A8TX70,?-2615
UniProtKB:A8TX70,?-2615,Lys-null,MOD:00162
UniProtKB:A8TX70,19-?,Lys-null,MOD:00037
UniProtKB:A8TX70,19-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:A8TX70,19-?,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:A8TX70,19-?
UniProtKB:A8TX70,19-?,Pro-null,MOD:00039
UniProtKB:A8TX70,19-?,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:A8TX70,19-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:A8TX70,19-?,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:A8TX70,19-?,Lys-null,MOD:01914
UniProtKB:A8TX70,19-?,Lys-null,MOD:00162
UniProtKB:A8TX70,19-?,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:A8TX70,19-?,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:A8TX70,19-2615
UniProtKB:A8TX70,19-2615,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:A8TX70,19-2615,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:A8TX70,19-2615,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:A8TX70,19-2615,Pro-null,MOD:00039
UniProtKB:A8TX70,19-2615,Lys-null,MOD:00162
UniProtKB:A8TX70,19-2615,Lys-null,MOD:00037
UniProtKB:A8TX70,19-2615,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:A8TX70,19-2615,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:A8TX70,19-2615,Lys-null,MOD:01914
UniProtKB:A8TX70,19-2615,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:A8TX70,19-2615,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:A9QM74,1-516
UniProtKB:A9YTQ3,1-701
UniProtKB:B0YJ81,1-288
UniProtKB:B2RTY4,1-2548
UniProtKB:B4DX44,1-427
UniProtKB:B4DXR9,1-585
UniProtKB:B6A8C7,17-271
UniProtKB:B7ZC32,1-967
UniProtKB:C9J2P7,1-530
UniProtKB:C9JJH3,1-530
UniProtKB:C9JLJ4,1-530
UniProtKB:C9JPN9,1-530
UniProtKB:C9JR72,1-458
UniProtKB:C9JRZ8,1-316
UniProtKB:C9JVI0,1-530
UniProtKB:D6R901,1-530
UniProtKB:D6R9N7,1-530
UniProtKB:D6RA61,1-530
UniProtKB:D6RBQ6,1-530
UniProtKB:D6RCP7,1-530
UniProtKB:D6RJB6,1-530
UniProtKB:O00115,19-360
UniProtKB:O00116,59-658
UniProtKB:O00139,1-706
UniProtKB:O00141,1-431,Ser-422,MOD:00046
UniProtKB:O00141,1-431,Ser-422,MOD:00046|Thr-256,MOD:00047
UniProtKB:O00141,1-431
UniProtKB:O00142,34-265
UniProtKB:O00144,23-591
UniProtKB:O00148,2-427
UniProtKB:O00154,1-380
UniProtKB:O00155,1-361
UniProtKB:O00159,1-1063
UniProtKB:O00159-3,1-1063
UniProtKB:O00161,1-211
UniProtKB:O00161,1-211,Ser-95,MOD:00046
UniProtKB:O00167,1-538
UniProtKB:O00167,1-538,XXX-null,MOD:00696
UniProtKB:O00168,21-92
UniProtKB:O00170,1-330
UniProtKB:O00180,1-336
UniProtKB:O00182,1-355
UniProtKB:O00186,1-592
UniProtKB:O00186,1-592,XXX-null,MOD:00696
UniProtKB:O00186,1-592,Tyr-521,MOD:00048
UniProtKB:O00187-1,16-444
UniProtKB:O00187-1,16-686
UniProtKB:O00187-1,445-686
UniProtKB:O00189,1-453
UniProtKB:O00194,2-218
UniProtKB:O00194,2-218,Cys-216/Cys-218,MOD:00113
UniProtKB:O00203,1-859,Ser-445/Ser-729,MOD:00046
UniProtKB:O00203,1-859,Ser-445/Ser-602/Ser-729,MOD:00046|Thr-599,MOD:00047
UniProtKB:O00203,1-1094
UniProtKB:O00204-1,1-365
UniProtKB:O00204-2,1-365
UniProtKB:O00206,24-839
UniProtKB:O00206,24-839,XXX-526/XXX-575,MOD:00160
UniProtKB:O00212,1-207
UniProtKB:O00213,1-710
UniProtKB:O00217,35-210
UniProtKB:O00219,1-553
UniProtKB:O00220,24-468
UniProtKB:O00221,1-500
UniProtKB:O00221,1-500,Ser-157/Ser-161,MOD:00046
UniProtKB:O00221,1-500,Ser-157/Ser-161,MOD:00046|Lys-null,MOD:01148
UniProtKB:O00222,34-908
UniProtKB:O00230,89-105
UniProtKB:O00231,2-422
UniProtKB:O00232,2-456
UniProtKB:O00233,1-223
UniProtKB:O00237,1-685
UniProtKB:O00238,14-502
UniProtKB:O00238,14-502,Ser-null,MOD:00046
UniProtKB:O00241,30-398
UniProtKB:O00244,1-68
UniProtKB:O00254,22-38
UniProtKB:O00254,22-374
UniProtKB:O00254,39-374
UniProtKB:O00255,1-615
UniProtKB:O00255,1-615,XXX-null,MOD:00696
UniProtKB:O00257,1-560
UniProtKB:O00257,1-560,Lys-494,MOD:01149
UniProtKB:O00264,1-195
UniProtKB:O00267,1-1087,XXX-null,MOD:00696
UniProtKB:O00268,1-1085
UniProtKB:O00270,1-319
UniProtKB:O00273,1-?
UniProtKB:O00273,1-117
UniProtKB:O00273,1-331
UniProtKB:O00273,118-224
UniProtKB:O00273,118-331
UniProtKB:O00273,225-331
UniProtKB:O00291,1-1037
UniProtKB:O00292,22-366
UniProtKB:O00292,77-366
UniProtKB:O00300,22-401
UniProtKB:O00303,2-357
UniProtKB:O00305,1-520
UniProtKB:O00308,1-870
UniProtKB:O00311,1-574
UniProtKB:O00327,1-626,Ser-null,MOD:00046
UniProtKB:O00327,1-626
UniProtKB:O00329,1-1044
UniProtKB:O00330,54-501
UniProtKB:O00337,1-649
UniProtKB:O00338,1-296
UniProtKB:O00341,1-560
UniProtKB:O00391,30-747
UniProtKB:O00391,30-747,XXX-null,MOD:00696
UniProtKB:O00398,1-339
UniProtKB:O00399,1-190
UniProtKB:O00400,1-549
UniProtKB:O00401,1-505
UniProtKB:O00401,1-505,Tyr-256,MOD:00048
UniProtKB:O00408,1-941
UniProtKB:O00410,2-1097
UniProtKB:O00411,42-1230
UniProtKB:O00418,1-725,Ser-366,MOD:00046
UniProtKB:O00418,1-725
UniProtKB:O00421,1-344
UniProtKB:O00422,1-153
UniProtKB:O00425,1-579
UniProtKB:O00429,1-736
UniProtKB:O00443,2-1686
UniProtKB:O00444,1-970
UniProtKB:O00445,1-386
UniProtKB:O00451,22-444
UniProtKB:O00459,1-728,Lys-null,MOD:01148
UniProtKB:O00459,1-728
UniProtKB:O00461,2-696
UniProtKB:O00462,18-879
UniProtKB:O00468,30-2045,XXX-null,MOD:00814
UniProtKB:O00468,30-2045
UniProtKB:O00469,26-737
UniProtKB:O00470,1-390
UniProtKB:O00471,1-708
UniProtKB:O00471,2-708
UniProtKB:O00472,1-640
UniProtKB:O00476,1-420
UniProtKB:O00476,1-498
UniProtKB:O00478,30-584
UniProtKB:O00481,30-513
UniProtKB:O00482-1,1-541
UniProtKB:O00482-2,1-541
UniProtKB:O00482-3,1-541
UniProtKB:O00483,1-81
UniProtKB:O00487,1-310
UniProtKB:O00499,2-593
UniProtKB:O00501,1-218
UniProtKB:O00505,2-521
UniProtKB:O00512,1-1426
UniProtKB:O00519,1-579
UniProtKB:O00533,25-1208
UniProtKB:O00541,1-588
UniProtKB:O00548,18-723
UniProtKB:O00555,1-2505
UniProtKB:O00560,2-298
UniProtKB:O00562,1-1244
UniProtKB:O00566,1-681
UniProtKB:O00567,1-594
UniProtKB:O00571,2-662
UniProtKB:O00574,1-342
UniProtKB:O00584,25-256
UniProtKB:O00585,24-134
UniProtKB:O00587,1-321
UniProtKB:O00602,30-326
UniProtKB:O00622,25-381
UniProtKB:O00622,25-381,XXX-null,MOD:00696
UniProtKB:O00623,1-359
UniProtKB:O00625,1-290
UniProtKB:O00626,25-93
UniProtKB:O00629,2-521
UniProtKB:O00631
UniProtKB:O00634,28-580
UniProtKB:O00635,1-465
UniProtKB:O00712,2-420
UniProtKB:O00716,1-465,XXX-null,MOD:00696
UniProtKB:O00716,1-465
UniProtKB:O00743,1-305
UniProtKB:O00744,29-389,XXX-null,MOD:00160|XXX-253,MOD:01381
UniProtKB:O00744,29-389
UniProtKB:O00744,29-389,XXX-null,MOD:00160
UniProtKB:O00746,34-187
UniProtKB:O00748,27-559
UniProtKB:O00750,1-1634
UniProtKB:O00754,50-1011
UniProtKB:O00755,32-349,XXX-null,MOD:00160
UniProtKB:O00755,32-349,XXX-null,MOD:00160|XXX-206,MOD:01381
UniProtKB:O00755,32-349
UniProtKB:O00757,1-339
UniProtKB:O00762,2-179,XXX-114,MOD:00211
UniProtKB:O00762,2-179
UniProtKB:O00763,1-2458,XXX-929,MOD:00126
UniProtKB:O00763,1-2458
UniProtKB:O00763,1-2458,Ser-79,MOD:00046|XXX-929,MOD:00126
UniProtKB:O00764,1-312
UniProtKB:O00767,1-359
UniProtKB:O14490,1-977
UniProtKB:O14492,1-632
UniProtKB:O14492,1-632,Tyr-629,MOD:00048
UniProtKB:O14493,1-209
UniProtKB:O14494,1-284
UniProtKB:O14495,1-311
UniProtKB:O14497,2-2285
UniProtKB:O14498,19-428
UniProtKB:O14503,1-412
UniProtKB:O14508,1-198
UniProtKB:O14511,112-404
UniProtKB:O14520,1-342
UniProtKB:O14521,57-159
UniProtKB:O14526,1-889
UniProtKB:O14531,1-572,Tyr-null,MOD:00048
UniProtKB:O14531,1-572
UniProtKB:O14531,1-572,Ser-544,MOD:00046
UniProtKB:O14543,1-225
UniProtKB:O14544,1-535
UniProtKB:O14548,56-114
UniProtKB:O14556,1-408
UniProtKB:O14559,1-1287
UniProtKB:O14561,69-156,XXX-112,MOD:00159
UniProtKB:O14561,69-156
UniProtKB:O14576,1-645
UniProtKB:O14578,1-2027
UniProtKB:O14578-3,1-1544
UniProtKB:O14579,2-308
UniProtKB:O14581,1-309
UniProtKB:O14594,23-1321,XXX-null,MOD:00814
UniProtKB:O14594,23-1321
UniProtKB:O14595,1-271
UniProtKB:O14607,1-1347
UniProtKB:O14610,1-66
UniProtKB:O14613,1-210
UniProtKB:O14613,1-210,XXX-null,MOD:00696
UniProtKB:O14618,1-274,Cys-141,MOD:00798
UniProtKB:O14625,22-94
UniProtKB:O14628,1-629
UniProtKB:O14633,1-110
UniProtKB:O14638,1-875
UniProtKB:O14639,1-778
UniProtKB:O14640,1-695,XXX-null,MOD:00696
UniProtKB:O14640,1-695,Ser-null,MOD:00046
UniProtKB:O14640,1-695,Lys-null,MOD:01148
UniProtKB:O14640,1-695
UniProtKB:O14641,1-736,Lys-null,MOD:01148
UniProtKB:O14641,1-736,XXX-null,MOD:00696
UniProtKB:O14641,1-736
UniProtKB:O14649,1-394
UniProtKB:O14653,1-212
UniProtKB:O14654,1-1257,Tyr-null,MOD:00048
UniProtKB:O14654,1-1257
UniProtKB:O14656,21-332
UniProtKB:O14657,25-336
UniProtKB:O14662,1-325
UniProtKB:O14672,214-748
UniProtKB:O14672,214-748,XXX-null,MOD:00696
UniProtKB:O14672,215-824
UniProtKB:O14678,1-590
UniProtKB:O14678,1-606
UniProtKB:O14684,1-152
UniProtKB:O14686,1-5537
UniProtKB:O14709,1-1029
UniProtKB:O14717,1-391
UniProtKB:O14718,1-337
UniProtKB:O14727,1-1248
UniProtKB:O14730,1-519
UniProtKB:O14732,1-288
UniProtKB:O14733,?-419
UniProtKB:O14733,1-419,Ser-271,MOD:00046|Thr-275,MOD:00047
UniProtKB:O14733,2-?
UniProtKB:O14733,2-419
UniProtKB:O14734,1-319
UniProtKB:O14735,1-213
UniProtKB:O14744,1-637
UniProtKB:O14744,1-637,Tyr-297/Tyr-304/Tyr-307,MOD:00048
UniProtKB:O14746,1-1132
UniProtKB:O14756,18-317
UniProtKB:O14757,1-476,Ser-317/Ser-345,MOD:00046
UniProtKB:O14757,1-476
UniProtKB:O14763,56-440
UniProtKB:O14771,1-459
UniProtKB:O14772,1-594
UniProtKB:O14773,196-563
UniProtKB:O14775,1-395
UniProtKB:O14775-1,1-395
UniProtKB:O14777,1-642
UniProtKB:O14782,1-793
UniProtKB:O14786,22-923
UniProtKB:O14788,1-317
UniProtKB:O14788,140-317
UniProtKB:O14791,28-398
UniProtKB:O14791,28-398,XXX-null,MOD:00696
UniProtKB:O14792,21-307
UniProtKB:O14795,1-1591
UniProtKB:O14796,1-132
UniProtKB:O14798,26-236
UniProtKB:O14802,1-1390
UniProtKB:O14804,1-337
UniProtKB:O14810,1-134
UniProtKB:O14815,1-690
UniProtKB:O14818,1-248
UniProtKB:O14827,1-1237
UniProtKB:O14829,1-653
UniProtKB:O14832,31-338
UniProtKB:O14836,1-293
UniProtKB:O14841,1-960
UniProtKB:O14841,1-1288
UniProtKB:O14842,1-300
UniProtKB:O14843,1-346
UniProtKB:O14862,1-343
UniProtKB:O14874,31-412
UniProtKB:O14879,1-490
UniProtKB:O14880,1-152
UniProtKB:O14893,1-280
UniProtKB:O14896,1-467
UniProtKB:O14904,30-365,XXX-null,MOD:00160
UniProtKB:O14904,30-365,XXX-null,MOD:00160|XXX-221,MOD:01381
UniProtKB:O14904,30-365
UniProtKB:O14905,23-357,XXX-null,MOD:00160|XXX-216,MOD:01381
UniProtKB:O14905,23-357
UniProtKB:O14905,23-357,XXX-null,MOD:00160
UniProtKB:O14907,2-124
UniProtKB:O14910,1-233
UniProtKB:O14920,1-756
UniProtKB:O14920,1-756,Ser-177/Ser-181,MOD:00046
UniProtKB:O14921,1-159
UniProtKB:O14924,1-1447
UniProtKB:O14925,1-209
UniProtKB:O14929,1-419
UniProtKB:O14931,19-201
UniProtKB:O14933,1-153
UniProtKB:O14936,1-926
UniProtKB:O14939,1-933
UniProtKB:O14944,60-108
UniProtKB:O14949,2-82
UniProtKB:O14950,1-172
UniProtKB:O14950,1-172,Ser-20,MOD:00046|Thr-19,MOD:00047
UniProtKB:O14950,1-172,Thr-19,MOD:00047
UniProtKB:O14957,1-56
UniProtKB:O14958,20-399
UniProtKB:O14964,1-777
UniProtKB:O14965,1-403,Lys-null,MOD:01148
UniProtKB:O14965,1-403,Thr-288,MOD:00047
UniProtKB:O14965,1-403
UniProtKB:O14965,1-403,Lys-258,MOD:01149
UniProtKB:O14966,1-203
UniProtKB:O14966,1-203,Cys-202/Cys-203,MOD:00113
UniProtKB:O14974,1-1030,Thr-696,MOD:00047
UniProtKB:O14974,1-1030
UniProtKB:O14974,1-1030,Ser-852,MOD:00046|Thr-696,MOD:00047
UniProtKB:O14974,1-1030,Ser-473,MOD:00046
UniProtKB:O14975,1-620
UniProtKB:O14976,2-1311
UniProtKB:O14977,1-448
UniProtKB:O14978,1-683
UniProtKB:O14979,1-420
UniProtKB:O14980,1-1071
UniProtKB:O14983,1-1001
UniProtKB:O14986,1-540
UniProtKB:O14994,1-580
UniProtKB:O15013,1-1369
UniProtKB:O15020,2-2390
UniProtKB:O15027,1-2179
UniProtKB:O15033,1-823
UniProtKB:O15041,26-775
UniProtKB:O15042,2-1029
UniProtKB:O15047,1-1707
UniProtKB:O15054,1-1643
UniProtKB:O15055,1-1255,Ser-null,MOD:00046
UniProtKB:O15055,1-1255,Ser-null,MOD:00046|Lys-null,MOD:01148
UniProtKB:O15055,1-1255
UniProtKB:O15056,1-1496
UniProtKB:O15066,1-747
UniProtKB:O15067,1-1338
UniProtKB:O15068,1-1137
UniProtKB:O15072,250-1205,XXX-null,MOD:00812
UniProtKB:O15072,250-1205
UniProtKB:O15078,1-2479
UniProtKB:O15084,1-1053
UniProtKB:O15085,1-1522
UniProtKB:O15091,46-583
UniProtKB:O15105,1-426
UniProtKB:O15111,1-745
UniProtKB:O15111,1-745,Ser-176/Ser-180,MOD:00046
UniProtKB:O15111,1-745,Thr-23,MOD:00047
UniProtKB:O15116,1-133
UniProtKB:O15117,2-783
UniProtKB:O15118,23-1278
UniProtKB:O15120,1-278
UniProtKB:O15121,2-323
UniProtKB:O15123,19-496
UniProtKB:O15126,2-338
UniProtKB:O15130,69-76
UniProtKB:O15131,1-536
UniProtKB:O15143,2-372
UniProtKB:O15144,1-300
UniProtKB:O15145,2-178
UniProtKB:O15146,24-869
UniProtKB:O15151,1-490,Ser-342/Ser-367/Ser-403,MOD:00046|Lys-null,MOD:01148
UniProtKB:O15151,1-490,Ser-403,MOD:00046
UniProtKB:O15151,1-490,Lys-null,MOD:01148
UniProtKB:O15151,1-490,Ser-342/Ser-367/Ser-403,MOD:00046
UniProtKB:O15151,1-490
UniProtKB:O15155,1-118
UniProtKB:O15160,2-346
UniProtKB:O15164,1-510,Ser-445/Ser-729,MOD:00046
UniProtKB:O15164,1-510,Ser-445/Ser-602/Ser-729,MOD:00046|Thr-599,MOD:00047
UniProtKB:O15164,1-626,Tyr-null/Tyr-766,MOD:00048
UniProtKB:O15164,1-626
UniProtKB:O15169,1-246
UniProtKB:O15169,1-345
UniProtKB:O15169,1-405
UniProtKB:O15169,1-862
UniProtKB:O15169,1-862,Lys-505,MOD:01148
UniProtKB:O15169,1-862,XXX-null,MOD:00752|Lys-null,MOD:01148
UniProtKB:O15169,1-862,Ser-524/Ser-531,MOD:00046|Thr-519,MOD:00047
UniProtKB:O15169,1-862,XXX-null,MOD:00752
UniProtKB:O15181,1-?
UniProtKB:O15197
UniProtKB:O15197,?-1021
UniProtKB:O15197,32-?
UniProtKB:O15197,32-1021
UniProtKB:O15197,32-1021,Tyr-645/Tyr-651,MOD:00048
UniProtKB:O15198,1-467,Ser-465/Ser-467,MOD:00046
UniProtKB:O15198,1-467
UniProtKB:O15205,1-165
UniProtKB:O15212,1-129
UniProtKB:O15213,1-610
UniProtKB:O15217,1-222
UniProtKB:O15228,1-680
UniProtKB:O15229,1-486
UniProtKB:O15230,?-3695
UniProtKB:O15230,36-?
UniProtKB:O15230,36-3695
UniProtKB:O15232,29-486
UniProtKB:O15232,29-486,XXX-null,MOD:00696
UniProtKB:O15234,1-703
UniProtKB:O15235,30-138
UniProtKB:O15239,1-70
UniProtKB:O15240,23-615
UniProtKB:O15240,23-615,XXX-null,MOD:00696
UniProtKB:O15244,1-555
UniProtKB:O15245,1-554
UniProtKB:O15247,1-247
UniProtKB:O15254,1-700
UniProtKB:O15259,1-732
UniProtKB:O15260,1-269
UniProtKB:O15260,2-269
UniProtKB:O15263,?-64
UniProtKB:O15263,1-64
UniProtKB:O15264,1-365
UniProtKB:O15264,1-365,Thr-180,MOD:00047|Tyr-182,MOD:00048
UniProtKB:O15265,1-892
