"""protein""","""ptms""","""reactionCount"""
"""O14531""","[""null:00048""]",1
"""O14531""",[],2
"""O14531""","[""544:00046""]",2
"""O14543""",[],20
"""O14544""",[],6
"""O14548""",[],1
"""O14556""",[],3
"""O14559""",[],1
"""O14561""",[],8
"""O14561""","[""112:00159""]",1
"""O14576""",[],16
"""O14578""",[],4
"""O14578-3""",[],2
"""O14579""",[],11
"""O14581""",[],1
"""O14594""",[],3
"""O14594""","[""null:00814""]",14
"""O14607""",[],2
"""O14610""",[],68
"""O14613""","[""null:00696""]",1
"""O14613""",[],1
"""O14618""","[""141:00798""]",5
"""O14625""",[],4
"""O14628""",[],1
"""O14633""",[],2
"""O14639""",[],1
"""O14640""","[""null:00046""]",4
"""O14640""","[""null:00696""]",14
"""O14640""",[],9
"""O14640""","[""null:01148""]",2
"""O14641""","[""null:00696""]",36
"""O14641""","[""null:01148""]",1
"""O14641""",[],14
"""O14649""",[],2
"""O14653""",[],16
"""O14654""",[],2
"""O14654""","[""null:00048""]",1
"""O14656""",[],1
"""O14657""",[],1
"""O14662""",[],7
"""O14672""",[],14
"""O14672""","[""null:00696""]",1
"""O14678""",[],1
"""O14684""",[],1
"""O14686""",[],13
"""O14709""",[],1
"""O14717""",[],1
"""O14718""",[],4
"""O14727""",[],7
"""O14732""",[],3
"""O14733""","[""271:00046"",""275:00047""]",3
"""O14733""",[],3
"""O14734""",[],6
"""O14735""",[],1
"""O14744""","[""297:00048"",""304:00048"",""307:00048""]",2
"""O14744""",[],12
"""O14746""",[],8
"""O14756""",[],1
"""O14757""",[],5
"""O14757""","[""317:00046"",""345:00046""]",12
"""O14763""",[],11
"""O14771""",[],1
"""O14772""",[],1
"""O14775""",[],72
"""O14775-1""",[],2
"""O14777""",[],13
"""O14782""",[],8
"""O14786""",[],18
"""O14788""",[],4
"""O14791""","[""null:00696""]",1
"""O14791""",[],2
"""O14792""",[],1
"""O14795""",[],10
"""O14796""",[],1
"""O14802""",[],18
"""O14804""",[],4
"""O14810""",[],12
"""O14815""",[],1
"""O14818""",[],4
"""O14827""",[],6
"""O14829""",[],1
"""O14832""",[],5
"""O14836""",[],1
"""O14841""",[],1
"""O14842""",[],6
"""O14843""",[],4
"""O14862""",[],1
"""O14874""",[],1
"""O14880""",[],2
"""O14893""",[],5
"""O14904""",[],1
"""O14904""","[""null:00160""]",1
"""O14904""","[""null:00160"",""221:01381""]",5
"""O14905""","[""null:00160"",""216:01381""]",3
"""O14905""","[""null:00160""]",1
"""O14905""",[],1
"""O14907""",[],1
"""O14910""",[],3
"""O14920""","[""177:00046"",""181:00046""]",16
"""O14920""",[],19
"""O14921""",[],1
"""O14924""",[],1
"""O14925""",[],10
"""O14929""",[],1
"""O14931""",[],2
"""O14933""",[],19
"""O14936""",[],7
"""O14939""",[],3
"""O14944""",[],35
"""O14949""",[],1
"""O14950""","[""19:00047""]",1
"""O14950""","[""20:00046"",""19:00047""]",10
"""O14950""",[],7
"""O14957""",[],1
"""O14964""",[],25
"""O14965""","[""288:00047""]",5
"""O14965""",[],11
"""O14965""","[""null:01148""]",1
"""O14966""","[""202:00113"",""203:00113""]",1
"""O14966""",[],2
"""O14974""","[""473:00046""]",1
"""O14974""",[],6
"""O14974""","[""852:00046"",""696:00047""]",1
"""O14974""","[""696:00047""]",1
"""O14975""",[],9
"""O14976""",[],8
"""O14977""",[],1
"""O14978""",[],1
"""O14980""",[],29
"""O14983""",[],2
"""O14986""",[],7
"""O14994""",[],4
"""O15013""",[],3
"""O15020""",[],16
"""O15027""",[],3
"""O15033""",[],3
"""O15041""",[],1
"""O15042""",[],6
"""O15047""",[],11
"""O15054""",[],4
"""O15055""","[""null:00046""]",3
"""O15055""",[],2
"""O15056""",[],12
"""O15066""",[],10
"""O15067""",[],1
"""O15068""",[],3
"""O15072""",[],2
"""O15072""","[""null:00812""]",2
"""O15078""",[],23
"""O15084""",[],1
"""O15085""",[],5
"""O15091""",[],2
"""O15105""",[],22
"""O15111""",[],22
"""O15111""","[""23:00047""]",2
"""O15111""","[""176:00046"",""180:00046""]",11
"""O15116""",[],3
"""O15117""",[],3
"""O15118""",[],1
"""O15120""",[],2
"""O15121""",[],2
"""O15123""",[],1
"""O15126""",[],1
"""O15130""",[],4
"""O15131""",[],1
"""O15143""",[],5
"""O15144""",[],14
"""O15145""",[],14
"""O15146""",[],1
"""O15151""","[""342:00046"",""367:00046"",""403:00046""]",4
"""O15151""","[""null:01148""]",1
"""O15151""","[""403:00046""]",2
"""O15151""","[""342:00046"",""367:00046"",""403:00046"",""null:01148""]",5
"""O15151""",[],9
"""O15155""",[],9
"""O15160""",[],30
"""O15164""","[""766:00048"",""null:00048""]",6
"""O15164""",[],3
"""O15164""","[""445:00046"",""602:00046"",""729:00046"",""599:00047""]",5
"""O15164""","[""445:00046"",""729:00046""]",1
"""O15169""","[""524:00046"",""531:00046"",""519:00047""]",10
"""O15169""","[""505:01148""]",1
"""O15169""",[],11
"""O15169""","[""null:00752""]",4
"""O15169""","[""null:00752"",""null:01148""]",2
"""O15181""",[],1
"""O15197""",[],13
"""O15198""",[],2
"""O15198""","[""465:00046"",""467:00046""]",6
"""O15205""",[],1
"""O15212""",[],2
"""O15213""",[],1
"""O15217""",[],1
"""O15228""",[],5
"""O15229""",[],1
"""O15230""",[],13
"""O15232""","[""null:00696""]",1
"""O15232""",[],2
"""O15234""",[],8
"""O15235""",[],12
"""O15239""",[],7
"""O15240""",[],1
"""O15240""","[""null:00696""]",1
"""O15244""",[],7
"""O15245""",[],7
"""O15247""",[],1
"""O15254""",[],3
"""O15259""",[],3
"""O15260""",[],5
"""O15263""",[],3
"""O15264""","[""180:00047"",""182:00048""]",1
"""O15264""",[],1
"""O15265""",[],2
"""O15269""",[],1
"""O15270""","[""379:00128""]",1
"""O15273""",[],4
"""O15287""",[],8
"""O15294""",[],2
"""O15296""",[],1
"""O15297""",[],1
"""O15303""",[],4
"""O15305""",[],1
"""O15315""",[],11
"""O15318""",[],18
"""O15320""",[],3
"""O15327""",[],4
"""O15342""",[],4
"""O15350""",[],9
"""O15350""","[""null:01148""]",1
"""O15354""",[],4
"""O15357""",[],3
"""O15360""",[],8
"""O15371""",[],8
"""O15372""",[],8
"""O15379""",[],17
"""O15382""","[""229:00128""]",2
"""O15389""",[],4
"""O15392""",[],14
"""O15392""","[""null:01148""]",1
"""O15397""",[],2
"""O15399""",[],14
"""O15427""",[],4
"""O15431""",[],1
"""O15438""",[],2
"""O15439""",[],2
"""O15440""",[],2
"""O15444""",[],5
"""O15446""",[],12
"""O15455""",[],20
"""O15460""",[],1
"""O15466""",[],1
"""O15467""",[],4
"""O15484""",[],1
"""O15488""","[""196:00166""]",3
"""O15488""","[""228:00166""]",11
"""O15488""",[],3
"""O15492""",[],1
"""O15496""",[],6
"""O15498""","[""194:00115""]",18
"""O15504""",[],35
"""O15511""",[],16
"""O15514""",[],122
"""O15516""","[""null:00046""]",16
"""O15516""",[],4
"""O15519""",[],1
"""O15519-1""",[],5
"""O15519-2""",[],5
"""O15520""",[],76
"""O15524""",[],13
"""O15525""",[],2
"""O15527""",[],6
"""O15528""",[],1
"""O15530""",[],30
"""O15533""",[],6
"""O15534""","[""null:00046""]",3
"""O15534""",[],2
"""O15539""",[],1
"""O15540""",[],1
"""O15547""",[],2
"""O15550""",[],2
"""O15551""",[],1
"""O15552""",[],4
"""O15553""",[],2
"""O15554""",[],1
"""O43143""",[],6
"""O43148""",[],8
"""O43151""",[],3
"""O43155""",[],1
"""O43157""","[""null:00048""]",9
"""O43157""",[],3
"""O43159""",[],4
"""O43164""",[],3
"""O43166""",[],2
"""O43169""",[],1
"""O43172""",[],2
"""O43173""",[],2
"""O43174""",[],2
"""O43175""",[],1
"""O43181""",[],4
"""O43182""",[],1
"""O43184""",[],2
"""O43187""","[""null:00696""]",18
"""O43187""",[],6
"""O43189""",[],1
"""O43193""",[],4
"""O43194""",[],7
"""O43237""",[],16
"""O43242""",[],6
"""O43251""",[],1
"""O43252""",[],4
"""O43252""","[""445:00046"",""602:00046"",""729:00046"",""599:00047""]",5
"""O43252""","[""445:00046"",""729:00046""]",1
"""O43255""",[],8
"""O43264""",[],14
"""O43272""",[],1
"""O43278""",[],3
"""O43280""","[""556:00171""]",1
"""O43286""",[],5
"""O43290""",[],2
"""O43291""",[],2
"""O43292""",[],1
"""O43293""",[],1
"""O43295""",[],3
"""O43296""",[],1
"""O43300""",[],1
"""O43301""",[],5
"""O43303""","[""null:01148""]",1
"""O43303""",[],20
"""O43306""",[],18
"""O43307""",[],5
"""O43314""",[],2
"""O43315""",[],7
"""O43318""","[""null:00696""]",1
"""O43318""","[""187:00047""]",1
"""O43318""","[""184:00047"",""187:00047""]",11
"""O43318""","[""null:01148""]",1
"""O43318""","[""34:01148"",""158:01148""]",1
"""O43318""",[],21
"""O43318""","[""192:00046"",""178:00047"",""184:00047"",""187:00047"",""34:01148"",""158:01148""]",2
"""O43320""",[],110
"""O43323""",[],6
"""O43323""","[""23:00069"",""198:00314""]",7
"""O43323""","[""null:00160"",""199:00798""]",2
"""O43323""","[""198:00314""]",2
"""O43323""","[""null:00160""]",4
"""O43323""","[""null:00160"",""null:01148""]",2
"""O43324""",[],10
"""O43345""",[],1
"""O43347""",[],1
"""O43353""",[],9
"""O43353""","[""209:01148""]",6
"""O43361""",[],1
"""O43364""",[],1
"""O43374""",[],2
"""O43390""",[],8
"""O43395""",[],2
"""O43426""",[],14
"""O43432""",[],1
"""O43447""",[],2
"""O43448""",[],1
"""O43451""",[],4
"""O43462""",[],8
"""O43463""",[],4
"""O43474""",[],1
"""O43482""",[],2
"""O43488""",[],1
"""O43491""",[],2
"""O43493""",[],20
"""O43493""","[""null:00696""]",1
"""O43497""",[],1
"""O43502""",[],12
"""O43504""",[],20
"""O43505""",[],3
"""O43506""",[],1
"""O43508""",[],2
"""O43511""",[],1
"""O43513""",[],4
"""O43516""",[],5
"""O43520""",[],2
"""O43521""","[""445:00046"",""602:00046"",""729:00046"",""599:00047""]",5
"""O43521""","[""null:00696""]",4
"""O43521""","[""65:00046""]",1
"""O43521""","[""445:00046"",""729:00046""]",1
"""O43521""",[],2
"""O43524""","[""253:00046"",""315:00046"",""32:00047""]",2
"""O43524""",[],8
"""O43524""","[""215:00046""]",2
"""O43525""",[],2
"""O43526""",[],2
"""O43529""",[],1
"""O43541""",[],3
"""O43542""",[],7
"""O43543""",[],9
"""O43555""",[],4
"""O43557""",[],4
"""O43559""","[""191:00048"",""286:00048"",""321:00048"",""416:00048"",""454:00048""]",25
"""O43559""","[""null:00048""]",2
"""O43559""",[],12
"""O43561""",[],2
"""O43561""","[""200:00048"",""220:00048""]",1
"""O43561""","[""156:00048"",""161:00048"",""200:00048"",""220:00048"",""255:00048""]",10
"""O43561-2""","[""127:00048"",""132:00048"",""171:00048"",""191:00048"",""226:00048""]",25
"""O43561-2""",[],2
"""O43566""",[],1
"""O43570""",[],2
"""O43572""",[],1
"""O43581""",[],1
"""O43586""",[],1
"""O43592""",[],2
"""O43597""","[""55:00048"",""227:00048""]",6
"""O43597""","[""112:00046"",""121:00046""]",2
"""O43597""","[""112:00046"",""115:00046""]",1
"""O43597""",[],6
"""O43597""","[""111:00046"",""120:00046""]",1
"""O43597""","[""55:00048""]",2
"""O43598""",[],1
"""O43602""",[],2
"""O43603""",[],4
"""O43609""",[],2
"""O43609""","[""53:00048""]",2
"""O43612""",[],5
"""O43613""",[],4
"""O43614""",[],4
"""O43615""",[],6
"""O43617""",[],5
"""O43623""",[],1
"""O43633""",[],4
"""O43639""",[],23
"""O43653""","[""95:00105""]",1
"""O43660""",[],6
"""O43663""",[],1
"""O43665""",[],1
"""O43674""",[],7
"""O43676""",[],7
"""O43677""",[],7
"""O43678""",[],7
"""O43681""",[],1
"""O43683""",[],13
"""O43684""",[],20
"""O43688""",[],1
"""O43699""",[],1
"""O43704""",[],2
"""O43707""",[],2
"""O43708""",[],3
"""O43709""",[],1
"""O43715""",[],2
"""O43731""",[],9
"""O43739""",[],2
"""O43741""",[],20
"""O43747""",[],14
"""O43749""",[],1
"""O43752""",[],4
"""O43759""",[],1
"""O43766""",[],1
"""O43768""","[""67:00046""]",2
"""O43768""",[],1
"""O43772""",[],1
"""O43776""",[],1
"""O43790""",[],3
"""O43791""",[],2
"""O43805""",[],22
"""O43808""",[],1
"""O43809""",[],10
"""O43818""",[],1
"""O43819""",[],1
"""O43820""",[],1
"""O43826""",[],1
"""O43837""",[],1
"""O43852""",[],2
"""O43852""","[""null:00696""]",1
"""O43861""",[],2
"""O43865""",[],2
"""O43868""",[],1
"""O43869""",[],1
"""O43889""",[],3
"""O43895""","[""649:00090""]",1
"""O43896""",[],3
"""O43897""",[],4
"""O43903""",[],1
"""O43913""",[],19
"""O43914""",[],21
"""O43914""","[""91:00048"",""102:00048""]",10
"""O43915""",[],4
"""O43916""",[],1
"""O43920""",[],3
"""O43921""",[],2
"""O43924""",[],3
"""O43927""",[],4
"""O43929""",[],18
"""O43933""",[],2
"""O60216""","[""null:01149""]",1
"""O60216""","[""454:00046""]",8
"""O60216""",[],18
"""O60218""",[],1
"""O60220""","[""43:00798"",""47:00798"",""62:00798"",""66:00798""]",2
"""O60220""",[],1
"""O60229""",[],9
"""O60229""","[""null:00696""]",1
"""O60231""",[],4
"""O60234""",[],2
"""O60237""",[],6
"""O60237-4""",[],1
"""O60238""",[],1
"""O60240""","[""81:00046"",""277:00046""]",2
"""O60240""",[],3
"""O60243""",[],1
"""O60244""",[],4
"""O60245""",[],1
"""O60258-1""",[],153
"""O60259""",[],1
"""O60260""","[""null:01148""]",3
"""O60260""",[],8
"""O60262""",[],69
"""O60264""",[],6
"""O60266""",[],16
"""O60271""",[],3
"""O60285""","[""211:00047""]",2
"""O60285""",[],2
"""O60291""",[],3
"""O60294""",[],3
"""O60304""",[],1
"""O60306""",[],15
"""O60312""",[],2
"""O60313""",[],1
"""O60331""",[],5
"""O60333""",[],3
"""O60337""",[],2
"""O60341""",[],10
"""O60343""","[""318:00046"",""341:00046"",""570:00046"",""588:00046"",""751:00046"",""642:00047""]",1
"""O60343""",[],1
"""O60344""",[],1
"""O60346""",[],1
"""O60353""","[""null:01148""]",2
"""O60353""",[],11
"""O60359""",[],3
"""O60361""",[],1
"""O60403""",[],1
"""O60404""",[],1
"""O60412""",[],1
"""O60423""",[],2
"""O60427""",[],2
"""O60431""",[],1
"""O60437""",[],8
"""O60462""",[],2
"""O60469""",[],5
"""O60476""",[],4
"""O60486""",[],1
"""O60488""",[],1
"""O60493""",[],2
"""O60493""","[""null:01148""]",1
"""O60494""",[],7
"""O60496""",[],2
"""O60499""",[],3
"""O60500""","[""1158:00048"",""1176:00048"",""1193:00048"",""1217:00048""]",6
"""O60500""",[],13
"""O60503""",[],15
"""O60504""",[],4
"""O60507""",[],1
"""O60508""",[],11
"""O60512""",[],4
"""O60513""",[],4
"""O60522""",[],2
"""O60542""",[],16
"""O60543""",[],1
"""O60547""",[],1
"""O60551""",[],2
"""O60563""",[],43
"""O60566""",[],20
"""O60568""",[],4
"""O60573""",[],2
"""O60583""",[],27
"""O60602""",[],12
"""O60603""",[],22
"""O60609""",[],16
"""O60610""",[],6
"""O60641""",[],14
"""O60645""",[],1
"""O60656""",[],2
"""O60658""",[],1
"""O60662""",[],6
"""O60664""",[],3
"""O60669""",[],1
"""O60671""",[],11
"""O60673""",[],9
"""O60674""","[""813:00048""]",1
"""O60674""",[],72
"""O60674""","[""119:00048"",""221:00048"",""372:00048"",""373:00048"",""570:00048"",""637:00048"",""813:00048"",""868:00048"",""966:00048"",""972:00048"",""1007:00048"",""1008:00048""]",15
"""O60674""","[""1007:00048""]",49
"""O60674""","[""null:00696""]",3
"""O60675""",[],2
"""O60678""",[],1
"""O60683""",[],8
"""O60701""",[],1
"""O60704""",[],1
"""O60706""",[],3
"""O60716""",[],4
"""O60721""",[],2
"""O60725""",[],1
"""O60729""",[],3
"""O60733""",[],4
"""O60741""",[],2
"""O60749""",[],4
"""O60755""",[],4
"""O60760""",[],2
"""O60762""",[],1
"""O60763""",[],13
"""O60765""",[],1
"""O60779""",[],1
"""O60783""",[],12
"""O60784""",[],2
"""O60814""","[""121:01148""]",1
"""O60814""","[""16:00064""]",5
"""O60814""",[],119
"""O60814""","[""21:00064""]",5
"""O60814""","[""120:01148""]",2
"""O60814""","[""null:00064""]",1
"""O60814""","[""6:00064""]",5
"""O60814""","[""13:00064""]",6
"""O60825""",[],1
"""O60826""",[],14
"""O60828""",[],6
"""O60830""",[],8
"""O60832""",[],8
"""O60840""",[],1
"""O60841""",[],2
"""O60858""",[],2
"""O60870""","[""135:00083""]",1
"""O60870""",[],1
"""O60879-2""","[""196:00046""]",2
"""O60879-2""",[],2
"""O60879-3""",[],2
"""O60880""",[],1
"""O60882""",[],4
"""O60883""",[],4
"""O60884""",[],3
"""O60890""",[],1
"""O60894""",[],5
"""O60895""",[],5
"""O60896""",[],5
"""O60906""",[],4
"""O60907""",[],5
"""O60909""",[],4
"""O60911""",[],10
"""O60921""",[],11
"""O60925""",[],2
"""O60931""",[],1
"""O60934""",[],20
"""O60934""","[""343:00046""]",62
"""O60938""","[""null:00831""]",7
"""O60939""",[],2
"""O60942""",[],12
"""O75015""",[],1
"""O75015""","[""200:00105""]",1
"""O75019""",[],1
"""O75022""",[],2
"""O75023""",[],1
"""O75027""",[],1
"""O75030""","[""289:01149"",""423:01149""]",1
"""O75030""",[],1
"""O75037""",[],3
"""O75038""",[],1
"""O75044""",[],5
"""O75051""","[""null:00048""]",8
"""O75051""",[],8
"""O75056""","[""null:00814""]",24
"""O75056""",[],3
"""O75061""",[],6
"""O75064""",[],1
"""O75077""",[],4
"""O75078""",[],2
"""O75083""",[],1
"""O75084""",[],6
"""O75093""",[],5
"""O75094""",[],3
"""O75096""",[],1
"""O75106""",[],1
"""O75110""",[],2
"""O75116""",[],10
"""O75122""",[],14
"""O75131""",[],2
"""O75143""","[""null:00696""]",4
"""O75143""",[],7
"""O75144""",[],2
"""O75145""",[],11
"""O75146""",[],13
"""O75147""",[],2
"""O75150""",[],1
"""O75151""",[],2
