Pathway StId	Pathway Name	# Entities Found	# Entities Total	Entities Ratio	Entities P-Value	Significant	Entities FDR	# Reactions Found	# Reactions Total	Reactions Ratio	Entities Found	Reactions Found
R-HSA-2730905	"Role of LAT2/NTAL/LAB on calcium mobilization"	3	99	0.030303030303030304	0.3222882054163143	No	0.11599261499282809	6	101	0.0594059405940594	P06241,P07948,Q9GZY6	R-HSA-2730837,R-HSA-2730842,R-HSA-2730848,R-HSA-2730860,R-HSA-2730870,R-HSA-2730884
R-HSA-450408	"AUF1 (hnRNP D0) binds and destabilizes mRNA"	1	6	0.16666666666666666	0.11398132424238161	No	0.074162521013602	1	7	0.14285714285714285	Q04637	R-HSA-450551
R-HSA-1295596	"Spry regulation of FGF signaling"	1	14	0.07142857142857142	0.24609108202410468	No	0.10271028353387003	1	18	0.05555555555555555	P12931	R-HSA-1295609
R-HSA-112043	"PLC beta mediated events"	5	44	0.11363636363636363	0.0021344962289402414	Yes	0.0056792846091445704	12	48	0.25	P22694,P47712,Q00722,Q01970,Q14643	R-HSA-111870,R-HSA-111879,R-HSA-111881,R-HSA-111883,R-HSA-111898,R-HSA-111919,R-HSA-111924,R-HSA-111925,R-HSA-112037,R-HSA-169680,R-HSA-169683,R-HSA-8951727
R-HSA-112040	"G-protein mediated events"	5	45	0.1111111111111111	0.0023502179545892288	Yes	0.006037628883341295	12	49	0.24489795918367346	P22694,P47712,Q00722,Q01970,Q14643	R-HSA-111870,R-HSA-111879,R-HSA-111881,R-HSA-111883,R-HSA-111898,R-HSA-111919,R-HSA-111924,R-HSA-111925,R-HSA-112037,R-HSA-169680,R-HSA-169683,R-HSA-8951727
R-HSA-8983432	"Interleukin-15 signaling"	1	8	0.125	0.14902460205048162	No	0.08223950261304357	1	8	0.125	P52333	R-HSA-8983394
R-HSA-381426	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	8	124	0.06451612903225806	0.003982692467275339	Yes	0.00941938377180993	1	229	0.004366812227074236	P01042,P02671,P02751,P02765,P02768,P04114,P19823,Q15084	R-HSA-8952289
R-HSA-186763	"Downstream signal transduction"	2	29	0.06896551724137931	0.11671247340808599	No	0.07306789301598661	3	32	0.09375	P12931,P16333	R-HSA-186819,R-HSA-380780,R-HSA-382058
R-HSA-1433559	"Regulation of KIT signaling"	3	16	0.1875	0.0043532199659456206	Yes	0.00940043152066518	3	19	0.15789473684210525	P06241,P07948,P12931	R-HSA-1433506,R-HSA-205244,R-HSA-205319
R-HSA-447115	"Interleukin-12 family signaling"	1	19	0.05263157894736842	0.31850356185335726	No	0.11631625175527019	1	24	0.041666666666666664	P27824	R-HSA-8950387
R-HSA-4420097	"VEGFA-VEGFR2 Pathway"	7	92	0.07608695652173914	0.0028651564635102655	Yes	0.007115138551050493	40	132	0.30303030303030304	P06241,P07900,P12931,P16333,P22694,Q14289,Q14643	R-HSA-1497784,R-HSA-169680,R-HSA-169683,R-HSA-202111,R-HSA-202127,R-HSA-202129,R-HSA-202137,R-HSA-202144,R-HSA-3928647,R-HSA-4420121,R-HSA-4420128,R-HSA-4420140,R-HSA-4420206,R-HSA-5218640,R-HSA-5218643,R-HSA-5218645,R-HSA-5218806,R-HSA-5218809,R-HSA-5218811,R-HSA-5218812,R-HSA-5218814,R-HSA-5218815,R-HSA-5218819,R-HSA-5218820,R-HSA-5218822,R-HSA-5218824,R-HSA-5218826,R-HSA-5218828,R-HSA-5218830,R-HSA-5218832,R-HSA-5218836,R-HSA-5218838,R-HSA-5218839,R-HSA-5218847,R-HSA-5218851,R-HSA-5218854,R-HSA-5218855,R-HSA-5357429,R-HSA-5357432,R-HSA-5357479
R-HSA-1433557	"Signaling by SCF-KIT"	3	43	0.06976744186046512	0.05716341561354388	No	0.05225367439520268	17	55	0.3090909090909091	P06241,P07948,P12931	R-HSA-1433418,R-HSA-1433428,R-HSA-1433451,R-HSA-1433456,R-HSA-1433488,R-HSA-1433506,R-HSA-1433514,R-HSA-1433542,R-HSA-1470010,R-HSA-1470012,R-HSA-1472121,R-HSA-1562641,R-HSA-205205,R-HSA-205234,R-HSA-205238,R-HSA-205244,R-HSA-205319
R-HSA-2424491	"DAP12 signaling"	2	29	0.06896551724137931	0.11671247340808599	No	0.07400067462895664	17	38	0.4473684210526316	O43561,P06241	R-HSA-210289,R-HSA-2395412,R-HSA-2395439,R-HSA-2395801,R-HSA-2396561,R-HSA-2396594,R-HSA-2396599,R-HSA-2396606,R-HSA-2424476,R-HSA-2424477,R-HSA-2424480,R-HSA-2424481,R-HSA-2424482,R-HSA-2424484,R-HSA-2424485,R-HSA-2424486,R-HSA-2424487
R-HSA-446353	"Cell-extracellular matrix interactions"	4	16	0.25	3.407863526250221E-4	Yes	0.0012694291635282073	5	16	0.3125	P21333,P50552,Q13418,Q15052	R-HSA-430347,R-HSA-432897,R-HSA-432946,R-HSA-446364,R-HSA-446391
R-HSA-445144	"Signal transduction by L1"	1	21	0.047619047619047616	0.34549121193561505	No	0.1208408229540062	1	27	0.037037037037037035	Q02750	R-HSA-109860
R-HSA-194138	"Signaling by VEGF"	7	100	0.07	0.00449499901035133	Yes	0.009433166937216172	40	141	0.28368794326241137	P06241,P07900,P12931,P16333,P22694,Q14289,Q14643	R-HSA-1497784,R-HSA-169680,R-HSA-169683,R-HSA-202111,R-HSA-202127,R-HSA-202129,R-HSA-202137,R-HSA-202144,R-HSA-3928647,R-HSA-4420121,R-HSA-4420128,R-HSA-4420140,R-HSA-4420206,R-HSA-5218640,R-HSA-5218643,R-HSA-5218645,R-HSA-5218806,R-HSA-5218809,R-HSA-5218811,R-HSA-5218812,R-HSA-5218814,R-HSA-5218815,R-HSA-5218819,R-HSA-5218820,R-HSA-5218822,R-HSA-5218824,R-HSA-5218826,R-HSA-5218828,R-HSA-5218830,R-HSA-5218832,R-HSA-5218836,R-HSA-5218838,R-HSA-5218839,R-HSA-5218847,R-HSA-5218851,R-HSA-5218854,R-HSA-5218855,R-HSA-5357429,R-HSA-5357432,R-HSA-5357479
R-HSA-112399	"IRS-mediated signalling"	1	45	0.022222222222222223	0.5972175204662931	No	0.16478779731384752	4	54	0.07407407407407407	Q9Y4H2	R-HSA-109699,R-HSA-109817,R-HSA-74736,R-HSA-74737
R-HSA-5250924	"B-WICH complex positively regulates rRNA expression"	1	60	0.016666666666666666	0.702805380341852	No	0.18243554298072465	1	63	0.015873015873015872	P49841	R-HSA-5250947
R-HSA-2022090	"Assembly of collagen fibrils and other multimeric structures"	1	47	0.02127659574468085	0.6132076998585776	No	0.1667298308009636	1	266	0.0037593984962406013	Q15149	R-HSA-2213192
R-HSA-389359	"CD28 dependent Vav1 pathway"	1	12	0.08333333333333333	0.2150264772557149	No	0.09858136957262006	5	13	0.38461538461538464	P06241	R-HSA-388814,R-HSA-389348,R-HSA-389350,R-HSA-389352,R-HSA-389354
R-HSA-392517	"Rap1 signalling"	3	16	0.1875	0.0043532199659456206	Yes	0.009538673160674962	4	17	0.23529411764705882	P22694,Q684P5,Q7LDG7	R-HSA-354173,R-HSA-392513,R-HSA-913993,R-HSA-913996
R-HSA-392518	"Signal amplification"	2	31	0.06451612903225806	0.1300344013755207	No	0.0781255072780346	8	32	0.25	P21731,P47712	R-HSA-391939,R-HSA-428749,R-HSA-428750,R-HSA-428752,R-HSA-428909,R-HSA-428917,R-HSA-428918,R-HSA-428961
R-HSA-5633007	"Regulation of TP53 Activity"	1	160	0.00625	0.96128733821528	No	0.22627458672050033	1	199	0.005025125628140704	Q8WZ73	R-HSA-6804441
R-HSA-389357	"CD28 dependent PI3K/Akt signaling"	1	22	0.045454545454545456	0.3585834767133742	No	0.1248339673604971	2	30	0.06666666666666667	P06241	R-HSA-388832,R-HSA-389158
R-HSA-372708	"p130Cas linkage to MAPK signaling for integrins"	4	15	0.26666666666666666	2.6740767123467624E-4	Yes	0.001021634436255558	3	16	0.1875	P02671,P02751,P12931,Q9Y490	R-HSA-372693,R-HSA-372697,R-HSA-372705
R-HSA-389356	"CD28 co-stimulation"	3	33	0.09090909090909091	0.029823212171640523	Yes	0.037658123843851164	9	43	0.20930232558139536	P06241,P07948,P12931	R-HSA-388814,R-HSA-388831,R-HSA-388832,R-HSA-389158,R-HSA-389348,R-HSA-389350,R-HSA-389352,R-HSA-389354,R-HSA-389381
R-HSA-388396	"GPCR downstream signalling"	19	1161	0.01636520241171404	0.8607941787988248	No	0.21340820738939253	46	1209	0.0380479735318445	P01042,P04114,P21731,P22694,P25116,P47712,P49407,P52333,Q00722,Q01970,Q14432,Q14643,Q14738,Q15052,Q7LDG7,Q92974,Q96PE2,Q9NS28,Q9Y4H4	R-HSA-111870,R-HSA-111879,R-HSA-111881,R-HSA-111883,R-HSA-111898,R-HSA-111919,R-HSA-111924,R-HSA-111925,R-HSA-112037,R-HSA-114688,R-HSA-139854,R-HSA-139941,R-HSA-169680,R-HSA-169683,R-HSA-177275,R-HSA-177284,R-HSA-198284,R-HSA-201790,R-HSA-2187332,R-HSA-2395764,R-HSA-2395768,R-HSA-2395784,R-HSA-2404131,R-HSA-2404140,R-HSA-2423785,R-HSA-2424254,R-HSA-2429643,R-HSA-379048,R-HSA-380073,R-HSA-392212,R-HSA-392831,R-HSA-398040,R-HSA-398188,R-HSA-398193,R-HSA-418553,R-HSA-418582,R-HSA-419166,R-HSA-749448,R-HSA-749452,R-HSA-749454,R-HSA-749456,R-HSA-751019,R-HSA-751027,R-HSA-751029,R-HSA-8852167,R-HSA-8951727
R-HSA-2187338	"Visual phototransduction"	1	99	0.010101010101010102	0.8654593034238592	No	0.2142083657975997	9	116	0.07758620689655173	P04114	R-HSA-2187332,R-HSA-2395764,R-HSA-2395768,R-HSA-2395784,R-HSA-2404131,R-HSA-2404140,R-HSA-2423785,R-HSA-2424254,R-HSA-2429643
R-HSA-70171	"Glycolysis"	2	70	0.02857142857142857	0.41259959656925127	No	0.13481872782635623	2	76	0.02631578947368421	P22694,Q14738	R-HSA-163750,R-HSA-163773
R-HSA-196783	"Coenzyme A biosynthesis"	1	8	0.125	0.14902460205048162	No	0.0831635419682463	1	8	0.125	Q9BZ23	R-HSA-196857
R-HSA-8982491	"Glycogen metabolism"	3	22	0.13636363636363635	0.01036537808787985	Yes	0.017958620175512766	5	31	0.16129032258064516	P06737,P46019,Q93100	R-HSA-453337,R-HSA-453339,R-HSA-71541,R-HSA-71588,R-HSA-71590
R-HSA-774815	"Nucleosome assembly"	1	27	0.037037037037037035	0.4202368656485247	No	0.1355309371896757	1	27	0.037037037037037035	P06748	R-HSA-606326
R-HSA-6781823	"Formation of TC-NER Pre-Incision Complex"	1	53	0.018867924528301886	0.6574855482313078	No	0.17338999413533604	4	55	0.07272727272727272	Q13619	R-HSA-6781833,R-HSA-6781867,R-HSA-6782004,R-HSA-6782069
R-HSA-198725	"Nuclear Events (kinase and transcription factor activation)"	1	25	0.04	0.3963169438681271	No	0.13210564795604238	1	37	0.02702702702702703	Q14738	R-HSA-199959
R-HSA-71387	"Metabolism of carbohydrates"	8	262	0.030534351145038167	0.16195079568795778	No	0.08587426532920182	10	296	0.033783783783783786	P06737,P11413,P19634,P22694,P46019,Q14738,Q8NET6,Q93100	R-HSA-163750,R-HSA-163773,R-HSA-1971483,R-HSA-2160884,R-HSA-453337,R-HSA-453339,R-HSA-70377,R-HSA-71541,R-HSA-71588,R-HSA-71590
R-HSA-5625740	"RHO GTPases activate PKNs"	4	61	0.06557377049180328	0.035950294357382506	Yes	0.04319833757459672	18	80	0.225	O14974,P35579,Q16512,Q96A00	R-HSA-419232,R-HSA-5623622,R-HSA-5623632,R-HSA-5623667,R-HSA-5625717,R-HSA-5625738,R-HSA-5625745,R-HSA-5625774,R-HSA-5625784,R-HSA-5625796,R-HSA-5625797,R-HSA-5625848,R-HSA-5625849,R-HSA-5625870,R-HSA-5671737,R-HSA-5671749,R-HSA-5671763,R-HSA-5671772
R-HSA-5694530	"Cargo concentration in the ER"	1	33	0.030303030303030304	0.4864829830056242	No	0.1494555968409031	1	44	0.022727272727272728	O75396	R-HSA-5694415
R-HSA-8963901	"Chylomicron remodeling"	1	10	0.1	0.1826883004449068	No	0.09073518922097037	3	10	0.3	P04114	R-HSA-174690,R-HSA-174739,R-HSA-174757
R-HSA-6781827	"Transcription-Coupled Nucleotide Excision Repair (TC-NER)"	1	77	0.012987012987012988	0.7895385397276733	No	0.20007014016908728	12	80	0.15	Q13619	R-HSA-6781833,R-HSA-6781867,R-HSA-6782004,R-HSA-6782069,R-HSA-6782131,R-HSA-6782138,R-HSA-6782141,R-HSA-6782204,R-HSA-6782208,R-HSA-6782211,R-HSA-6782224,R-HSA-6782227
R-HSA-163767	"PP2A-mediated dephosphorylation of key metabolic factors"	1	7	0.14285714285714285	0.13167887384714883	No	0.07694177334598108	4	11	0.36363636363636365	Q14738	R-HSA-163688,R-HSA-163689,R-HSA-163750,R-HSA-164056
R-HSA-8856688	"Golgi-to-ER retrograde transport"	5	118	0.0423728813559322	0.09213057009912196	No	0.06663813079985034	8	118	0.06779661016949153	O00139,O75396,P47712,Q9NQT8,Q9UJW0	R-HSA-6811417,R-HSA-6811418,R-HSA-6811422,R-HSA-6811423,R-HSA-6811425,R-HSA-6811426,R-HSA-8848484,R-HSA-8849350
R-HSA-5223345	"Miscellaneous transport and binding events"	3	24	0.125	0.013070464033656082	Yes	0.021168468924073435	2	24	0.08333333333333333	P35611,Q08495,Q9UEY8	R-HSA-5226979,R-HSA-5226999
R-HSA-448424	"Interleukin-17 signaling"	3	63	0.047619047619047616	0.13559525843712883	No	0.07770651348897	8	96	0.08333333333333333	Q02750,Q14738,Q8NFZ5	R-HSA-199959,R-HSA-451634,R-HSA-451649,R-HSA-5684248,R-HSA-5684250,R-HSA-5684261,R-HSA-5684267,R-HSA-5684275
R-HSA-4641262	"Disassembly of the destruction complex and recruitment of AXIN to the membrane"	2	29	0.06896551724137931	0.11671247340808599	No	0.07368711244832547	5	32	0.15625	P49841,Q14738	R-HSA-1504186,R-HSA-201677,R-HSA-201685,R-HSA-201691,R-HSA-5323526
R-HSA-72203	"Processing of Capped Intron-Containing Pre-mRNA"	2	236	0.00847457627118644	0.9523663401880001	No	0.22560029362164072	8	240	0.03333333333333333	P61978,Q15365	R-HSA-156661,R-HSA-72103,R-HSA-72107,R-HSA-72124,R-HSA-72127,R-HSA-72130,R-HSA-72139,R-HSA-72143
R-HSA-1630316	"Glycosaminoglycan metabolism"	2	119	0.01680672268907563	0.6932201643818563	No	0.18089282748318142	2	138	0.014492753623188406	P19634,Q8NET6	R-HSA-1971483,R-HSA-2160884
R-HSA-72689	"Formation of a pool of free 40S subunits"	2	102	0.0196078431372549	0.6105090376867026	No	0.1662995367738916	1	102	0.00980392156862745	O75821,P55884	R-HSA-72676
R-HSA-8948747	"Regulation of PTEN localization"	1	9	0.1111111111111111	0.16602546966581366	No	0.08559790650590393	1	10	0.1	P46934	R-HSA-6807106
R-HSA-69278	"Cell Cycle, Mitotic"	16	440	0.03636363636363636	0.017336479791202786	Yes	0.025831354888892148	35	555	0.06306306306306306	O00139,O14974,O43768,P02545,P07900,P07948,P12931,P49841,P56211,P61006,Q14008,Q14738,Q7L7X3,Q8TD19,Q8TEP8,Q9NXR1	R-HSA-1638803,R-HSA-1638821,R-HSA-2168079,R-HSA-2430535,R-HSA-2430552,R-HSA-2467809,R-HSA-2467811,R-HSA-2468287,R-HSA-2562526,R-HSA-2574840,R-HSA-2574845,R-HSA-2980720,R-HSA-2984220,R-HSA-2984226,R-HSA-2984258,R-HSA-2990880,R-HSA-2995376,R-HSA-3000310,R-HSA-3000319,R-HSA-3002811,R-HSA-375302,R-HSA-380272,R-HSA-380283,R-HSA-380294,R-HSA-380303,R-HSA-380311,R-HSA-380316,R-HSA-380455,R-HSA-380508,R-HSA-5244669,R-HSA-75820,R-HSA-8852362,R-HSA-8853405,R-HSA-8853419,R-HSA-8942607
R-HSA-5358351	"Signaling by Hedgehog"	3	81	0.037037037037037035	0.2248894452281408	No	0.09943183186644801	7	115	0.06086956521739131	P22694,P49407,P49841	R-HSA-5610717,R-HSA-5610720,R-HSA-5610730,R-HSA-5610732,R-HSA-5610741,R-HSA-5610749,R-HSA-5632667
R-HSA-74749	"Signal attenuation"	1	10	0.1	0.1826883004449068	No	0.08895606786369645	3	15	0.2	Q9Y4H2	R-HSA-109823,R-HSA-5686315,R-HSA-74747
R-HSA-69275	"G2/M Transition"	6	136	0.04411764705882353	0.058935376858303745	No	0.05196077604667017	15	160	0.09375	O14974,P07900,P61006,Q14008,Q8TEP8,Q9NXR1	R-HSA-2562526,R-HSA-2574840,R-HSA-2574845,R-HSA-3000310,R-HSA-3000319,R-HSA-3002811,R-HSA-380272,R-HSA-380283,R-HSA-380294,R-HSA-380303,R-HSA-380311,R-HSA-380455,R-HSA-8852362,R-HSA-8853405,R-HSA-8853419
R-HSA-5578775	"Ion homeostasis"	3	52	0.057692307692307696	0.08897067509003787	No	0.06562688410106754	5	54	0.09259259259259259	Q13586,Q14643,Q96D31	R-HSA-139854,R-HSA-169683,R-HSA-2089943,R-HSA-434798,R-HSA-5226904
R-HSA-8862803	"Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models"	1	18	0.05555555555555555	0.30459732001574724	No	0.11431990096308901	1	28	0.03571428571428571	P02545	R-HSA-8868344
R-HSA-1482788	"Acyl chain remodelling of PC"	1	27	0.037037037037037035	0.4202368656485247	No	0.1367146134970091	2	27	0.07407407407407407	P47712	R-HSA-1482856,R-HSA-1482862
R-HSA-73894	"DNA Repair"	2	293	0.006825938566552901	0.9823392058162496	No	0.22905875065198933	30	372	0.08064516129032258	P54727,Q13619	R-HSA-5652005,R-HSA-5652009,R-HSA-5689317,R-HSA-5689861,R-HSA-5690213,R-HSA-5690988,R-HSA-5690990,R-HSA-5690991,R-HSA-5690996,R-HSA-5691000,R-HSA-5691004,R-HSA-5691006,R-HSA-5696655,R-HSA-5696664,R-HSA-5696670,R-HSA-6781833,R-HSA-6781867,R-HSA-6782004,R-HSA-6782069,R-HSA-6782131,R-HSA-6782138,R-HSA-6782141,R-HSA-6782204,R-HSA-6782208,R-HSA-6782211,R-HSA-6782224,R-HSA-6782227,R-HSA-6782943,R-HSA-6790454,R-HSA-6790487
R-HSA-73893	"DNA Damage Bypass"	1	49	0.02040816326530612	0.628566025523708	No	0.16905476137731495	2	53	0.03773584905660377	Q13619	R-HSA-5652005,R-HSA-5652009
R-HSA-375165	"NCAM signaling for neurite out-growth"	3	58	0.05172413793103448	0.11346404892409057	No	0.07414975127056796	8	120	0.06666666666666667	P06241,P12931,Q01082	R-HSA-391865,R-HSA-391866,R-HSA-391867,R-HSA-391868,R-HSA-391871,R-HSA-392051,R-HSA-392053,R-HSA-392054
R-HSA-8939902	"Regulation of RUNX2 expression and activity"	1	28	0.03571428571428571	0.4318407064926937	No	0.13690269205832203	4	35	0.11428571428571428	P49841	R-HSA-9008476,R-HSA-9008478,R-HSA-9008479,R-HSA-9008480
R-HSA-5696400	"Dual Incision in GG-NER"	1	41	0.024390243902439025	0.5632370926876207	No	0.15954814982976329	3	42	0.07142857142857142	Q13619	R-HSA-5690213,R-HSA-5690988,R-HSA-5690990
R-HSA-141424	"Amplification of signal from the kinetochores"	5	94	0.05319148936170213	0.04292577915522122	Yes	0.04536128435551746	4	94	0.0425531914893617	O00139,Q14008,Q14738,Q7L7X3,Q9NXR1	R-HSA-141409,R-HSA-141422,R-HSA-141431,R-HSA-141439
R-HSA-2990846	"SUMOylation"	1	113	0.008849557522123894	0.898847380097113	No	0.2163622934320999	1	171	0.005847953216374269	P61978	R-HSA-4570499
R-HSA-2172127	"DAP12 interactions"	2	45	0.044444444444444446	0.23013809606002478	No	0.10145140920989258	17	54	0.3148148148148148	O43561,P06241	R-HSA-210289,R-HSA-2395412,R-HSA-2395439,R-HSA-2395801,R-HSA-2396561,R-HSA-2396594,R-HSA-2396599,R-HSA-2396606,R-HSA-2424476,R-HSA-2424477,R-HSA-2424480,R-HSA-2424481,R-HSA-2424482,R-HSA-2424484,R-HSA-2424485,R-HSA-2424486,R-HSA-2424487
R-HSA-948021	"Transport to the Golgi and subsequent modification"	5	167	0.029940119760479042	0.24879810674004665	No	0.10184318105567843	15	183	0.08196721311475409	O75396,P16157,P48553,Q01082,Q9UJW0	R-HSA-203973,R-HSA-204008,R-HSA-5694409,R-HSA-5694415,R-HSA-5694418,R-HSA-5694423,R-HSA-5694425,R-HSA-5694439,R-HSA-5694441,R-HSA-5694446,R-HSA-6807875,R-HSA-6807877,R-HSA-6809003,R-HSA-6809006,R-HSA-6809011
R-HSA-204005	"COPII-mediated vesicle transport"	2	68	0.029411764705882353	0.398587964113448	No	0.13197690367311946	9	84	0.10714285714285714	O75396,P48553	R-HSA-203973,R-HSA-204008,R-HSA-5694409,R-HSA-5694418,R-HSA-5694423,R-HSA-5694425,R-HSA-5694439,R-HSA-5694441,R-HSA-5694446
R-HSA-9006934	"Signaling by Receptor Tyrosine Kinases"	18	417	0.04316546762589928	0.0021429423936696335	Yes	0.0056017266080136035	111	652	0.17024539877300612	P06241,P07900,P07948,P07996,P12931,P16333,P22694,P42566,P46934,Q05209,Q12913,Q14289,Q14643,Q14738,Q99961,Q9UBC2,Q9UQ16,Q9Y4H2	R-HSA-109699,R-HSA-109817,R-HSA-109823,R-HSA-1295609,R-HSA-1433418,R-HSA-1433428,R-HSA-1433451,R-HSA-1433456,R-HSA-1433488,R-HSA-1433506,R-HSA-1433514,R-HSA-1433542,R-HSA-1470010,R-HSA-1470012,R-HSA-1472121,R-HSA-1497784,R-HSA-1562641,R-HSA-169680,R-HSA-169683,R-HSA-170991,R-HSA-177501,R-HSA-177923,R-HSA-177937,R-HSA-182986,R-HSA-182990,R-HSA-182994,R-HSA-183002,R-HSA-183072,R-HSA-186819,R-HSA-1918092,R-HSA-1918095,R-HSA-1963578,R-HSA-1963586,R-HSA-1963589,R-HSA-1973956,R-HSA-1977296,R-HSA-198211,R-HSA-198266,R-HSA-198295,R-HSA-198315,R-HSA-199959,R-HSA-202111,R-HSA-202127,R-HSA-202129,R-HSA-202137,R-HSA-202144,R-HSA-205205,R-HSA-205234,R-HSA-205238,R-HSA-205244,R-HSA-205319,R-HSA-2428922,R-HSA-2428926,R-HSA-380780,R-HSA-382054,R-HSA-382058,R-HSA-3928647,R-HSA-4420121,R-HSA-4420128,R-HSA-4420140,R-HSA-4420206,R-HSA-5218640,R-HSA-5218643,R-HSA-5218645,R-HSA-5218806,R-HSA-5218809,R-HSA-5218811,R-HSA-5218812,R-HSA-5218814,R-HSA-5218815,R-HSA-5218819,R-HSA-5218820,R-HSA-5218822,R-HSA-5218824,R-HSA-5218826,R-HSA-5218828,R-HSA-5218830,R-HSA-5218832,R-HSA-5218836,R-HSA-5218838,R-HSA-5218839,R-HSA-5218847,R-HSA-5218851,R-HSA-5218854,R-HSA-5218855,R-HSA-5357429,R-HSA-5357432,R-HSA-5357479,R-HSA-5686315,R-HSA-6807008,R-HSA-74707,R-HSA-74711,R-HSA-74712,R-HSA-74736,R-HSA-74737,R-HSA-74747,R-HSA-8863804,R-HSA-8864029,R-HSA-8864036,R-HSA-8867041,R-HSA-8867044,R-HSA-8867047,R-HSA-8874080,R-HSA-8874082,R-HSA-8874083,R-HSA-8875482,R-HSA-8875490,R-HSA-8934465,R-HSA-8951490,R-HSA-9032502,R-HSA-9037040
